#N E pmin p1min pmax wmin wmax wave
13405 101667 9.1521e-55 9.1521e-55 0.99999 0 2147483653.91571 1879923.12798807
#nodeindex nodename nodeweight
0 FTO 9.1521e-55
1 BDNF 1.3062e-18
2 CLN3 8.514e-18
3 ATP2A1 6.6681e-14
4 NEGR1 1.3163e-13
5 TUFM 1.7631e-13
6 ETV5 2.1023e-13
7 ADCY3 2.3065e-13
8 FAIM2 3.1803e-13
9 SEC16B 3.1803e-13
10 ATXN2L 5.1321e-13
11 TFAP2B 6.3891e-13
12 GIPR 1.6681e-12
13 SH2B1 9.1521e-55
14 CELF1 3.7972e-12
15 LIN7C 4.4021e-12
16 MTCH2 9.1521e-55
17 NCKAP5L 1.0928e-11
18 SPI1 2.8174e-11
19 CADM2 3.4082e-11
20 NUP160 5.6134e-11
21 MAP2K5 9.3827e-11
22 POC5 1.444e-10
23 PSMC3 1.5406e-10
24 CD19 1.9537e-10
25 AGBL2 2.355e-10
26 TNNI3K 4.0561e-13
27 LMX1B 3.6421e-10
28 SLC39A13 4.5536e-10
29 TCF7L2 5.541e-10
30 FNBP4 5.6851e-10
31 SULT1A2 8.6431e-10
32 RABEP2 1.0229e-09
33 NRXN3 1.0829e-09
34 APOBR 1.2789e-09
35 MC4R 9.1521e-55
36 COL4A3BP 1.5849e-09
37 FPGT-TNNI3K 3.0218e-10
38 MTIF3 2.1669e-09
39 SULT1A1 2.1673e-09
40 ZC3H4 2.5872e-09
41 NLRC3 5.6945e-09
42 IQCK 6.1073e-09
43 LMOD1 9.2534e-09
44 EFR3B 1.1681e-08
45 NCAM1 1.7161e-08
46 MYBPC3 1.9947e-08
47 AGBL4 2.1278e-08
48 SKOR1 2.3616e-08
49 POLK 2.4993e-08
50 C18orf8 3.4755e-08
51 HMGCR 4.5347e-08
52 NPC1 4.775e-08
53 KAT8 4.9104e-08
54 CALCR 7.7548e-08
55 IPO9 7.7883e-08
56 BCKDK 1.1462e-07
57 PRSS8 1.163e-07
58 IL27 1.4574e-07
59 LAT 1.6446e-07
60 ELAVL4 1.7996e-07
