#N E pmin p1min pmax wmin wmax wave
13243 98958 6.7724e-15 6.7724e-15 1 0 2147483649.72418 1215254.49047082
#nodeindex nodename nodeweight
0 TERT 6.7724e-15
1 DCBLD1 1.8017e-12
2 VTI1A 8.9944e-10
3 TP63 6.3826e-07
4 ERCC6 1.0146e-06
5 BTNL2 2.8631e-06
6 PSORS1C1 6.1921e-06
7 AKAP13 6.459e-06
8 ROS1 1.1571e-05
9 DSP 1.1818e-05
10 GABBR1 1.3155e-05
11 ACTR10 1.728e-05
12 WNK1 2.5729e-05
13 HLA-DPB1 2.5946e-05
14 BPTF 1.0146e-06
15 P2RY13 3.6529e-05
16 DDR1 4.7458e-05
17 ACVR1B 6.1761e-05
18 TP53BP1 6.6213e-05
19 GTF2H4 7.2345e-05
20 FGF1 8.1731e-05
21 CLPTM1L 8.3993e-05
22 HLA-DPA1 8.8523e-05
23 ARL5C 0.00012942
24 KLHL25 0.00014105
25 CHRNA3 0.00014261
26 RAB4B 0.00014809
27 NRROS 0.00014854
28 HSPA1L 0.00014943
29 HLA-A 8.8523e-05
30 PCGF6 0.00015588
31 ADAL 0.00016201
32 PDCD11 0.00018924
33 LY6G6F 0.00019751
34 TAF5 7.2345e-05
35 MAP1A 0.00022023
36 ALDH2 0.00023163
37 PPIP5K1 0.00023452
38 PRR12 0.00024014
39 HLA-B 2.5946e-05
40 BTN3A1 0.00029359
41 NEURL1 0.00029576
42 EGLN2 0.00029647
43 TUBGCP4 0.00030493
44 HLA-DRA 2.5946e-05
45 JUP 1.1818e-05
46 IMPA1 0.00034377
47 PSCA 0.00034664
48 OCSTAMP 0.00035862
49 BTN2A1 0.00038579
50 SNRNP48 0.00040948
51 NEMF 0.00047643
52 INHBC 0.00048483
53 MED12L 0.00050279
54 PPP1R18 0.00051614
55 KAT7 0.00053352
56 TRIM39 0.00054614
57 TAPBP 0.00026653
58 PITPNM1 0.00056531
59 DHX16 0.00057432
60 CUX2 0.00060565
61 MDC1 0.00068606
62 EHMT2 0.00070358
63 TFAP2C 0.00071569
64 FLOT1 0.00071749
65 TMEM116 0.00072117
66 DSG2 0.00031709
67 MAPKAPK5 0.00076367
68 TEAD1 0.00083039
69 HAP1 1.728e-05
70 HFE 0.00026653
71 THBS3 0.00088396
72 CDSN 6.1921e-06
73 BAG6 0.00094474
74 SLC5A1 0.00095667
75 NR5A1 0.00096519
76 TET2 0.0009835
77 CCL7 0.001
78 TRIM39-RPP21 0.00054614
79 PRC1 0.0010251
80 TMPRSS2 0.0010534
81 COL14A1 0.0010689
82 INA 0.0010885
83 KLHDC2 0.0011031
84 ENTPD3 0.0011189
85 BAK1 0.0011479
86 GAST 0.0012146
87 TNS1 0.0012306
88 NUMBL 0.0012478
89 PRRG2 0.0012837
