#N E pmin p1min pmax wmin wmax wave
14117 128867 8.4623e-13 8.4623e-13 0.99601 0 2147483653.96645 83322.4553173014
#nodeindex nodename nodeweight
0 CHRNA5 8.4623e-13
1 CHRNB4 8.4623e-13
2 CHRNA3 8.4623e-13
3 IREB2 1.776e-12
4 FAM13A 2.7743e-11
5 RIN3 9.2956e-11
6 HYKK 8.4623e-13
7 ADAM19 5.1678e-09
8 FBXO38 1.5138e-07
9 THSD4 3.2797e-07
10 ABCE1 3.3088e-07
11 EEFSEC 6.2813e-07
12 ANAPC10 1.223e-06
13 GSTCD 1.717e-06
14 SULT1A2 2.0125e-06
15 OTUD4 2.0176e-06
16 PSMA4 8.4623e-13
17 RUVBL1 2.3947e-06
18 INTS12 2.6154e-06
19 IL27 3.0456e-06
20 DNAL1 7.3017e-06
21 SULT1A1 2.0125e-06
22 TGFB2 1.0361e-05
23 CLN3 1.0871e-05
24 CAMK2A 1.1382e-05
25 FUT9 1.7288e-05
26 SPINK9 3.27e-05
27 RAB4B 3.7686e-05
28 SPINK7 3.8651e-05
29 WDR20 3.8892e-05
30 TET2 4.155e-05
31 AGER 5.4343e-05
32 GZMA 5.6107e-05
33 PNMA1 6.8104e-05
34 POFUT1 7.0529e-05
35 EML4 7.0775e-05
36 PVALB 8.3169e-05
37 ELMSAN1 8.5092e-05
38 MTCL1 8.6367e-05
39 MBNL1 8.8857e-05
40 RNF41 8.8908e-05
41 ATP2A1 9.0553e-05
42 TMEM170A 9.4589e-05
43 PBX2 0.00011999
44 SCN3B 0.00012572
45 HIST1H4L 0.0001355
46 ATG16L2 0.00013684
47 RSAD1 0.00013688
48 NIPAL4 0.00015135
49 ZKSCAN1 0.00015179
50 ANKRD9 0.00015948
51 TRIM32 0.00018941
52 TLK2 0.00018972
53 BTN3A2 0.00020251
54 GPR157 0.00020765
55 SH2B1 0.00021125
56 ATXN2L 0.00022842
57 DSP 0.0002324
58 STAG3 0.00023969
59 RARB 0.00024732
60 CFDP1 2.3947e-06
61 TUFM 0.00027064
62 FUT11 0.00027084
63 SLC10A7 0.00027962
64 GATS 0.00031069
65 MAPT 0.00033197
66 ALKBH5 0.00034534
67 HCK 0.00036077
68 IRAK2 0.00038524
69 KANSL1 0.00039224
70 PDRG1 0.00040356
71 MECOM 0.00041
72 CACNB1 1.1382e-05
73 TSPAN3 0.00049243
74 GRIK2 0.00049584
75 SEC24C 0.00050579
76 SOX30 0.00056252
77 RBP4 0.00057083
78 CBLC 0.00058844
79 TM9SF4 0.00061815
80 XKR7 0.0006608
81 ZSWIM8 0.00069652
82 GLIS3 0.00069723
83 NUPR1 0.00070233
84 RADIL 0.00075053
85 GAL 0.00078532
86 MRC2 0.00078866
87 WNT3 0.000821
88 DOCK5 0.00083166
89 SPPL2C 0.00083743
90 LITAF 0.0008416
91 DENND2D 0.00084438
92 PSTPIP1 0.00084448
93 RABEP2 0.0008693
94 MTHFSD 0.00089449
95 KIF3B 0.00091923
96 ZNF3 0.00092276
97 PPARGC1B 0.00093368
98 LAMB1 0.00097522
99 FLII 0.00097907
100 PGLYRP1 0.0010081
101 CREBRF 0.0010338
102 CEPT1 0.0011533
103 RAB11FIP2 0.0011806
104 TNXB 0.0011808
105 FGD6 0.0012023
106 GPX8 0.0012319
107 DMWD 0.0012552
108 CDC20B 0.0012905
109 DDX6 0.00022842
110 HLA-DRA 0.0013631
111 LLGL1 0.00097907
112 C1orf106 0.0014283
113 GJA5 0.0014513
114 C17orf62 0.0014904
115 IPO9 0.0015117
116 MMP2 0.0015226
117 SUN5 0.0015462
118 MOK 0.001549
119 AZGP1 0.0015713
120 RERG 0.0015841
121 REG4 0.0015858
122 DKK2 0.0015977
123 SP100 0.0016238
124 MYO15A 0.0016612
125 IGFBP4 0.0016717
126 LMF2 0.0016909
127 SUDS3 0.0016959
128 SLC9A9 0.0017099
129 CRHR1 0.0017296
130 EGLN2 0.0017509
131 TNRC6A 0.0013045
132 GAB2 0.00036077
133 IRX2 0.0018339
134 MACF1 0.0018674
135 POFUT2 3.2797e-07
136 NOTUM 0.0019433
137 DNMT3A 0.0019822
138 CDK17 0.001991
139 SLC2A4 0.0020125
140 CACNG5 0.0020345
141 CDC123 0.0020377
142 BTN2A1 0.0020865
143 ACVR1B 0.0020925
144 ITGA1 0.00097522
145 VGLL4 0.0021363
146 LTBR 0.0021769
147 KCNG3 0.0022604
148 UFSP1 0.0022675
149 SIX5 0.0022686
150 NUCB1 0.0022798
151 DCAF11 0.0022862
152 NDST2 0.0023552
153 DBH 0.0023836
154 MCM7 0.00018972
155 SFTPD 5.4343e-05
156 GABRB2 0.0025337
157 FUT8 1.7288e-05
158 ITFG2 0.0026618
159 KAT6B 0.0026903
160 GATAD1 0.0026983
161 NSF 0.0027026
162 CAMK2G 1.1382e-05
163 FGFR4 0.0027275
