#N E pmin p1min pmax wmin wmax wave
14554 153478 1.2491e-61 1.2491e-61 0.99342 0 4294967294 937473.165709415
#nodeindex nodename nodeweight
0 TCF7L2 1.2491e-61
1 CDKAL1 1.2491e-61
2 IGF2BP2 1.4408e-14
3 FTO 1.4408e-14
4 IDE 8.9647e-09
5 WFS1 1.2491e-61
6 ACSL1 3.8716e-08
7 GAPVD1 3.2669e-07
8 PRC1 3.2905e-07
9 KCNQ1 1.2491e-61
10 HSD17B12 9.0074e-07
11 JAZF1 1.2536e-08
12 BACE2 1.8698e-06
13 CENPW 1.9069e-06
14 KIF11 3.2905e-07
15 HHEX 1.2491e-61
16 TSPAN8 1.3816e-06
17 LTBP3 3.7431e-06
18 LRP2 3.9363e-06
19 FIBP 4.2388e-06
20 THADA 1.4408e-14
21 MAN2A2 9.2264e-06
22 GIT1 1.0348e-05
23 VPS33B 1.0585e-05
24 NAA20 1.1721e-05
25 UBE3C 1.2718e-05
26 VPS13C 1.4194e-05
27 RCCD1 1.5592e-05
28 APOC1 1.7616e-05
29 MACF1 2.1775e-05
30 PITX2 2.3344e-05
31 TEX2 3.6381e-05
32 ZNF10 4.0235e-05
33 FBXO46 4.9835e-05
34 PRKAR2B 5.2918e-05
35 CCDC12 5.3983e-05
36 SIPA1 6.0207e-05
37 CRNKL1 5.3983e-05
38 SCAP 6.2941e-05
39 ETAA1 6.4918e-05
40 MAP3K11 6.8442e-05
41 LYPD3 7.8783e-05
42 HAUS6 8.2038e-05
43 CAND2 8.7655e-05
44 SETD2 8.8854e-05
45 DGAT1 8.9971e-05
46 ZZEF1 9.1764e-05
47 UNC45A 9.2261e-05
48 ZNF140 9.4491e-05
49 PLN 9.7113e-05
50 CFL1 9.9915e-05
51 KIF9 1e-04
52 GNAT3 0.00012185
53 DCDC1 0.00012452
54 ELP4 0.00012452
55 PLEKHA1 0.00012748
56 TEX43 0.00012931
57 APOE 3.9363e-06
58 RGS17 0.00013649
59 TMEM189-UBE2V1 0.00013985
60 FOSL1 6.8442e-05
61 ZMIZ1 0.00014778
62 HMGA2 1.4408e-14
63 KLHL18 0.00015683
64 UBE2V1 0.00016211
65 RNF212 0.00016475
66 ADAMTS3 0.00017464
67 PPARG 1.2491e-61
68 CPEB3 0.0001764
69 TIMP4 0.00018069
70 ANXA4 0.00021002
71 MAN1C1 9.2264e-06
72 ETHE1 7.8783e-05
73 LDHB 0.00024467
74 EZH2 3.2905e-07
75 SEMA4C 0.00026734
76 RELA 0.00016211
77 CUL1 1.2491e-61
78 NEO1 0.00029663
79 KCNJ11 1.2491e-61
80 GIPR 0.00032547
81 UBE2U 0.00016211
82 C2CD4A 0.00036342
83 UBE2Z 0.00016211
84 SNF8 0.00037626
85 FAM102B 0.00038321
86 MUS81 0.00016475
87 PTPN23 0.00039766
88 BOP1 0.00042763
89 SSH2 9.9915e-05
90 LIPH 0.00043656
91 KCNK7 0.00047314
92 HCN4 0.00047933
93 OASL 0.00048913
94 KIF3C 0.00049039
95 UNC13C 0.0004919
96 BEND7 0.00049634
97 PABPC4 0.0004969
98 KLHL42 0.00050119
99 SNRPD2 6.2436e-05
100 RANBP2 0.00051774
101 NEUROG3 0.00057367
102 NXPE3 0.00058454
103 PHLDB3 7.8783e-05
104 TMEM189 0.00013985
105 FGFRL1 0.0006066
106 MAP3K13 0.00061066
107 CCDC138 0.00061857
108 SPON2 0.00061891
109 MOCS2 0.00062045
110 FAM102A 0.00065916
111 SPC25 3.2905e-07
112 ACYP2 0.00066496
113 ANKFY1 0.00066734
114 CDC14A 0.00067354
115 KCNJ10 0.00072848
116 CTRB2 0.00074788
117 PIP5KL1 0.000771
118 RFX3 0.00079857
119 DPM2 0.00065916
120 CACNA1G 0.00083352
121 UNC93B1 0.00085019
122 DOHH 0.00086098
123 RPAP1 0.00089298
124 MAPK10 0.00014627
125 QPCTL 0.0009338
126 MTMR3 0.00093626
127 CTDNEP1 0.00095861
128 HORMAD2 0.00097391
129 TAGLN 0.00098893
130 BTRC 1.9069e-06
131 ZNF239 0.0010478
132 PCM1 0.0010593
133 PURB 0.0011184
134 MAPKAPK2 0.001126
135 PLXND1 0.0011904
136 FBRSL1 0.0012364
137 NUS1 0.0012426
138 EYA2 0.0012432
139 EHBP1L1 0.0012732
140 P4HTM 0.001291
141 IMMP1L 0.00012452
142 PIGH 0.00080998
143 VASH1 0.0013336
144 EMC8 0.0013905
145 ELP5 0.000127
146 STARD7 0.0014161
147 RPGRIP1L 7.5483e-11
148 KDELR1 0.0014636
149 POMT1 0.0014646
150 NOL10 0.0014681
151 DDX39B 0.00051774
152 SLC22A14 0.0015543
153 SMARCAD1 0.0015582
154 BRD4 6.0207e-05
155 DCAF7 0.0015772
156 OLFM4 0.0015941
157 WRB 0.0016506
158 RAB11B 0.0017153
159 CD36 0.00017567
