#N E pmin p1min pmax wmin wmax wave
14274 131035 2.9689e-18 2.9689e-18 0.99823 0 2147483648.82093 32778.1579041855
#nodeindex nodename nodeweight
0 PHACTR1 2.9689e-18
1 WDR12 2.4697e-15
2 ICA1L 1.081e-14
3 CARF 3.0984e-14
4 CDKN2B 6.8745e-14
5 MIA3 7.4397e-12
6 ADAMTS7 7.5119e-12
7 CELSR2 1.185e-11
8 LPA 1.9431e-11
9 NBEAL1 2.3028e-11
10 LIPA 2.5103e-11
11 APOE 4.7727e-11
12 KIAA1462 7.226e-11
13 SMARCA4 2.7233e-10
14 IL6R 5.4495e-10
15 CARM1 2.7233e-10
16 COL4A1 8.0523e-10
17 SMG6 8.792e-10
18 MAT2A 9.398e-10
19 VAMP8 1.4095e-09
20 FES 1.7079e-09
21 LDLR 1.9431e-11
22 TGFB1 6.3973e-09
23 ARNTL 8.7701e-09
24 LPL 1.9431e-11
25 GGCX 1.3934e-08
26 TNS1 2.4499e-08
27 MSL2 2.5603e-08
28 COL4A2 8.0523e-10
29 CDKN2A 2.7233e-10
30 GUCY1A3 7.3348e-08
31 CFDP1 1.1468e-07
32 ATXN2 1.3728e-07
33 BROX 7.4397e-12
34 TAF1A 2.0497e-07
35 TMEM170A 2.17e-07
36 MRAS 2.5889e-07
37 SLC22A3 2.6161e-07
38 AXL 4.2342e-07
39 ILF3 4.3642e-07
40 NAGLU 4.5502e-07
41 SH2B3 5.4249e-07
42 PSRC1 5.8937e-07
43 IGF2BP1 9.0097e-07
44 VAMP5 1.1152e-06
45 CYP17A1 1.1445e-06
46 BCAS3 1.2986e-06
47 BRAP 1.3728e-07
48 FURIN 1.2087e-08
49 TOMM40 4.7727e-11
50 B9D2 1.407e-06
51 YIPF2 1.6343e-06
52 APOC1 1.9431e-11
53 TCF21 1.7059e-06
54 MST1 1.8405e-06
55 CHST6 1.8798e-06
56 TSPAN14 1.9259e-06
57 MORF4L1 2.5603e-08
58 SNF8 2.4555e-06
59 SKI 3.3875e-06
60 BCAP29 3.403e-06
61 ATP5G1 1.3529e-06
62 KCNK5 3.9045e-06
63 SWAP70 4.3995e-06
64 GPR22 3.403e-06
65 MAP1S 4.7205e-06
66 HNF1A 5.0546e-06
67 ACAD10 5.2016e-06
68 PLCG1 5.4495e-10
69 UBE2Z 2.4697e-15
70 SLC22A1 6.3165e-06
71 ACYP1 6.7287e-06
72 NEK9 6.8703e-06
73 TTLL6 6.9703e-06
74 FHL5 7.2477e-06
75 TMED10 4.5502e-07
76 RAPH1 7.7385e-06
77 CYP4F2 7.9106e-06
78 QPCTL 8.027e-06
79 PLG 6.3973e-09
80 SETDB2 8.6012e-06
81 FLT1 9.325e-06
82 STAG1 9.3655e-06
83 CYP20A1 9.6617e-06
84 B4GALT5 1.1032e-05
85 ALDH2 1.1404e-05
86 IPO9 1.1533e-05
87 ZPR1 1.1568e-05
88 ARHGEF26 1.187e-05
89 PECAM1 5.3966e-06
90 ABI2 1.2494e-05
91 ATPAF2 1.2985e-05
92 ZBTB7B 1.3584e-05
93 PCCB 1.3641e-05
94 COG5 3.403e-06
95 APEH 1.4264e-05
96 RELA 1.2087e-08
97 GGT7 1.5694e-05
98 TOM1L2 1.5881e-05
99 GIP 1.5984e-05
100 MLH3 1.755e-05
101 NT5C2 1.7607e-05
102 TMED1 7.7263e-06
103 ZNF827 1.8352e-05
104 INPP5B 1.8853e-05
105 DAG1 1.9631e-05
106 SREBF1 3.9614e-09
107 TRIM65 2.034e-05
108 GID4 2.2101e-05
109 MYH11 2.2199e-05
110 AMT 2.402e-05
111 CENPW 2.5187e-05
112 EIF2B2 2.545e-05
113 PPP2R3A 2.6438e-05
114 ZHX3 2.7249e-05
115 SMAD3 6.3973e-09
116 HBP1 3.021e-05
117 ANKRD52 3.0277e-05
118 REST 2.7233e-10
119 ING1 2.0989e-06
120 PAN2 3.1217e-05
121 DMWD 3.2645e-05
122 DRG2 3.2915e-05
123 NICN1 3.5083e-05
124 NOA1 3.8176e-05
125 MTAP 5.7892e-08
126 DNM2 1.4095e-09
127 SLC44A2 4.38e-05
128 CNNM2 1.7607e-05
129 KAT2A 2.7233e-10
130 CS 4.8285e-05
131 NAA25 4.9837e-05
132 KRI1 2.4697e-15
133 CCDC97 5.1512e-05
134 TMEM116 5.1675e-05
135 ORC4 5.3262e-05
136 HECTD4 5.3958e-05
137 ATG4D 5.4579e-05
138 POC1B 5.5406e-05
139 TCTA 5.6066e-05
140 CSNK1G3 5.9917e-05
141 TAGLN2 6.4028e-05
142 CHN1 6.5644e-05
143 SLC39A5 6.5724e-05
144 TBC1D12 6.6681e-05
145 APBB1 6.6863e-05
146 NEDD9 6.7572e-05
147 COQ10A 7.15e-05
148 GOSR2 7.7263e-06
149 UHRF1 7.5967e-05
150 TMEM150A 8.0539e-05
151 RHOA 2.4499e-08
152 STAT2 2.7233e-10
153 RAB5C 1.4095e-09
154 RPH3A 9.0567e-05
155 SIPA1 9.0588e-05
156 PDS5B 9.3655e-06
157 MAT1A 9.398e-10
158 MTTP 9.1508e-05
159 GPX1 1.5694e-05
160 DHX58 9.6355e-05
161 BSN 9.7339e-05
162 RAI1 0.0001002
163 RORC 0.00010044
164 APOB 1.9431e-11
165 TOP1 5.7892e-08
166 HNRNPUL1 0.00010735
167 UNC13D 0.00010805
168 SLC45A4 0.00010823
169 GALNT4 0.00011262
170 SPHKAP 0.00011704
171 TRMT10A 0.0001175
172 GIGYF2 0.00011801
173 ZKSCAN1 0.00011826
174 DYDC2 0.00012
175 LY6H 0.00012212
176 MAPKAPK5 0.0001245
177 CLDN19 0.00012705
178 IL23A 6.3973e-09
179 SRR 0.00012844
180 KCNA2 0.00013104
181 MLX 0.00013232
182 ZNF652 0.00013262
183 AMH 0.00013352
184 RSPH6A 0.00013786
185 DAB2IP 0.00014264
186 CEACAM19 0.00014553
187 EIF2B3 2.545e-05
188 SF3A1 0.00015138
189 RPL13 0.00015237
190 BMP1 0.00015986
191 RRP1B 0.00016175
192 SYN3 0.00016502
193 ABCG8 0.0001024
194 UFL1 0.00016926
195 TRAFD1 0.00017142
196 H2AFV 1.1468e-07
197 CELA3B 0.00018899
198 TRAF4 0.00020111
199 POU5F1 2.7233e-10
200 MYOZ2 0.00020517
201 ACVR2A 0.00020975
202 EDNRA 5.3966e-06
203 FTO 0.00022109
204 PREX1 0.00022737
205 ZEB2 2.9752e-05
206 IGF2R 0.00023683
207 ANKRD50 0.00024545
208 NME9 0.00024752
209 PHB 2.7233e-10
210 CNPY2 0.00025148
211 DENND5A 0.00025882
212 TUBA3E 0.00026342
213 ZMYND12 0.00026649
214 PAPD7 0.00027448
215 RPL6 0.00027472
216 HSPB9 0.0002939
217 FCHO1 0.00029701
218 ST3GAL4 0.00031537
219 TBC1D10A 0.00031569
220 EXOSC5 2.4697e-15
221 LAMB2 0.00032287
222 ESYT3 0.00032411
223 LOX 0.00015986
224 C1S 0.00033066
225 RNF215 0.00033153
226 MRPL38 2.034e-05
227 DUS4L 3.403e-06
228 HLA-B 0.0003413
229 CRHR1 0.00034267
230 NEK8 1.407e-06
231 NIPSNAP1 0.00034902
232 MYO15A 0.00035519
233 ITGB1BP1 0.00035593
234 PHF11 0.00036051
235 PHIP 0.00036356
236 USP10 0.00036732
237 ACTR2 1.2494e-05
238 CTSH 0.0003852
239 SEC61A1 0.0001024
240 SCUBE2 0.0003983
241 BCKDHA 1.3641e-05
242 CYP2S1 0.0004053
243 ARL15 0.0004117
244 RBPMS2 0.00041215
245 GSTM4 9.3237e-05
246 ERP29 0.0004053
247 LMOD1 2.2199e-05
248 ATP6V0A1 0.00043428
249 KCNJ13 3.9045e-06
250 AAR2 0.00048428
251 PTPN11 5.4495e-10
252 GLIS2 0.00049771
253 TUBG2 0.00049966
254 BBOX1 0.00050279
255 CNPY4 0.00052494
256 AP3M1 0.0005315
257 ARHGEF19 0.00053434
258 ETV4 0.00054008
259 RRBP1 0.00054268
260 DENND1B 0.00056392
261 CD302 0.00056773
262 ZNF638 0.00059234
263 NDST2 0.00059597
264 DHX36 9.6355e-05
265 UNK 0.00060809
266 THOC5 0.00064539
267 UPB1 0.00064893
268 IRAK1BP1 0.00065585
269 ZFP36L2 0.00067363
270 UBXN2A 0.00067769
271 BNIP1 1.4095e-09
272 MON1A 0.00068477
273 ZSWIM8 0.00068583
274 AZGP1 0.00068822
275 RNF123 0.00069562
276 PDE1A 7.3348e-08
277 TBX2 0.00070049
278 TMEM199 0.00071975
279 ENSA 0.00073207
280 OAZ3 0.00073503
281 RUVBL1 1.1468e-07
282 EHBP1 0.00074455
283 ATAD2B 0.00036356
284 CYP46A1 0.00076143
285 MAPK7 0.0007635
286 CEP164 0.00076636
287 GPR149 0.00079194
288 RBMS1 0.00079876
289 PDLIM5 0.00020517
290 FBF1 0.00033165
291 NRP1 9.325e-06
292 C4orf17 0.00083966
293 HMGCR 7.7707e-10
294 RNF181 0.00086149
295 SLC22A2 0.00086546
296 F2RL1 8.0829e-06
297 ADK 0.00089833
298 ATP2B1 0.00090103
299 SLCO5A1 0.00090212
300 KALRN 0.00091871
301 LRRC25 0.00092397
302 SIX5 0.00094852
303 DPH1 0.00094991
304 TRAIP 0.00096094
305 PPIA 6.4028e-05
306 ZADH2 0.00098134
307 PURB 0.00099137
308 DOT1L 0.0010129
309 WNT2 0.0010185
310 HTRA1 0.0010267
311 LOXL4 0.00015986
312 FABP2 0.0010325
313 ZNF644 6.5724e-05
314 USP48 0.0010469
315 MST1R 0.0010536
316 BTBD19 0.0010929
317 TAB2 0.0010935
318 HELLS 0.0011101
319 CDC25A 0.0011338
320 SUSD2 0.0011366
321 RNF5 0.0011467
322 CALCOCO1 0.0011482
323 USP35 0.0011575
324 CNP 0.001169
325 SPG7 0.0012318
326 KAT5 2.7233e-10
327 ABCB4 7.7707e-10
328 GJC3 0.00013104
329 LARP4B 0.0012819
330 EDEM2 0.0012839
331 ANXA4 0.0012911
332 BUD13 1.1568e-05
333 FAM109A 0.0012954
334 APOA5 7.7707e-10
335 EXOC6B 0.0013086
336 PPP2R3C 0.0013105
337 TLE4 0.0013277
338 SNRPD2 4.3642e-07
339 AGER 0.0013366
340 PDE8A 0.00089833
341 FOLH1 0.0013521
342 TRPC4AP 0.0013915
343 CNTNAP1 0.00013104
344 CTSK 0.0014227
345 RASGEF1B 0.001423
346 PSD 0.0014234
347 LAMC2 1.9631e-05
348 CTTN 4.1654e-05
349 KLF2 1.4715e-05
350 PLEKHJ1 0.0012954
351 OBP2B 0.0014807
352 PTPRJ 0.0015025
353 TAL2 0.0015028
354 TERT 5.7892e-08
355 HAUS6 0.0015095
356 IL10 5.4495e-10
357 SPINK8 0.0015372
358 RAD54L2 0.0015542
359 PEX1 0.0015689
360 MYH7B 0.0015711
361 FAM46C 0.0016046
362 B3GNT8 0.0016194
363 EHBP1L1 0.0016285
364 CEP70 0.00164
365 SBF2 0.0016637
366 AGFG2 0.0016769
367 NOS3 4.7727e-11
368 SUMO1 5.7892e-08
369 PROCA1 0.0017054
370 SGCD 0.0017905
371 GBE1 0.00050279
372 MYO1A 0.00036931
373 HIPK3 0.0018248
374 HORMAD1 0.0018848
375 USP53 0.0018926
376 DSTN 0.00089833
377 FAM117B 0.0019539
378 SLCO1B1 0.0019546
379 RSG1 0.0019741
380 SNRPD3 0.0007384
381 CDC123 0.0019938
382 BECN1 0.00036732
383 MTHFD1L 0.0020066
