#N E pmin p1min pmax wmin wmax wave
13204 98310 5.2885e-13 5.2885e-13 1 0 2147483647.30293 152908.727968605
#nodeindex nodename nodeweight
0 SIAH2 5.2885e-13
1 TOX3 6.1863e-11
2 FGFR2 6.1863e-11
3 ERICH6 1.0656e-08
4 MRPS30 4.7739e-07
5 ESR1 9.6889e-07
6 POU5F1 1.6978e-06
7 STRADB 1.7635e-06
8 OR2H1 2.6578e-06
9 LSP1 3.2507e-06
10 UBD 7.9217e-06
11 PPP1R18 1.0566e-05
12 HLA-F 1.0743e-05
13 CDSN 1.6705e-05
14 DHX16 1.7677e-05
15 MDC1 1.8889e-05
16 PSORS1C1 2.0049e-05
17 CCHCR1 2.4692e-05
18 C6orf15 2.6608e-05
19 TRAK2 1.7635e-06
20 RICTOR 5.0203e-05
21 TCF19 2.4692e-05
22 ZBED9 5.7182e-05
23 CHST9 5.9441e-05
24 HLA-DRA 8.3873e-05
25 NLRP2 9.6237e-05
26 CFB 0.00010886
27 CLIC1 0.00011953
28 TRPS1 0.00012055
29 CCDC170 0.00012556
30 MYNN 0.00012775
31 DAP3 4.7739e-07
32 PEBP4 0.00014226
33 LY6G6F 0.00014719
34 CRK 5e-10
35 SETBP1 0.0001722
36 STXBP4 0.00017275
37 ARRDC3 0.00017521
38 SPON2 0.00018618
39 ATE1 0.0002052
40 HSPA1L 0.00021052
41 TRIM26 0.00021324
42 LRRC34 0.00012775
43 HSPA1B 0.00023519
44 ZFYVE26 0.00025342
45 TUBB 0.0002573
46 CASP8 0.00026222
47 ITPR3 0.00027506
48 RAD23A 0.0002797
49 APOBEC3C 0.00028216
50 ATXN3 0.00028914
51 APOBEC3A 0.00028216
52 MOG 0.00031427
53 PADI6 0.00033128
54 MED25 0.00034172
55 FLOT1 0.00034273
56 SLC14A2 0.00038614
57 NSUN2 0.00039482
58 ASH1L 0.00040676
59 FKBPL 0.00041098
60 KIF5A 0.00043383
61 BTG4 0.00044969
62 MYO1C 0.0004498
63 ADAM29 0.0004572
64 FDX1 0.00046453
65 LSM2 0.00047033
66 PPP1R13L 0.0004774
67 DIRAS1 0.00052227
68 BIRC6 0.00052779
69 SDR9C7 0.00053486
70 HEBP2 0.00054143
71 LY6G5B 0.00054678
72 ACTRT3 0.00056565
73 NRM 5.4107e-05
74 CXCL12 0.00059122
75 EHMT2 0.00060275
76 CLDN14 0.00061615
77 WNT9B 0.00064812
78 RASGRP4 0.00065052
79 APOBEC3D 0.00065984
80 ARHGAP9 0.00066278
81 PTOV1 0.00034273
82 ITPR1 0.00027506
83 KCNF1 0.00069554
84 MAU2 0.00072167
85 TNNT3 0.00074269
86 ZMIZ1 0.00081648
87 EPS8L1 0.00084736
88 NAF1 0.00088084
89 SIGLEC1 0.00090642
90 EFCC1 0.00090665
91 CYP19A1 0.0009178
92 MGAT4C 0.00092402
93 PLD2 0.00099271
94 EGFL8 0.00041098
95 LCE2D 0.001
96 OTOG 0.0010071
97 PALB2 0.0010357
98 RAD51B 0.0010357
99 CDK4 0.0010709
100 NACA 0.001107
101 CD247 0.0004498
102 DTX3 0.0011586
103 SUGP1 0.0011704
104 SPATA18 0.0011876
105 INSRR 0.0012034
106 BPTF 0.0012735
107 NDUFA13 0.00128
108 C2CD2 0.0012807
