#N E pmin p1min pmax wmin wmax wave
14031 109213 2.9689e-18 2.9689e-18 0.99891 0 2147483647.86281 19664.1676461904
#nodeindex nodename nodeweight
0 PHACTR1 2.9689e-18
1 WDR12 2.4697e-15
2 CARF 3.0984e-14
3 CDKN2B 6.8745e-14
4 MIA3 7.4397e-12
5 ADAMTS7 7.5119e-12
6 CELSR2 1.185e-11
7 LPA 1.9431e-11
8 NBEAL1 2.3028e-11
9 LIPA 2.5103e-11
10 APOE 4.7727e-11
11 SMARCA4 2.7233e-10
12 IL6R 5.4495e-10
13 CARM1 2.7233e-10
14 COL4A1 8.0523e-10
15 SMG6 8.792e-10
16 MAT2A 9.398e-10
17 VAMP8 1.4095e-09
18 FES 1.7079e-09
19 LDLR 1.9431e-11
20 TGFB1 6.3973e-09
21 ARNTL 8.7701e-09
22 LPL 1.9431e-11
23 GGCX 1.3934e-08
24 TNS1 2.4499e-08
25 MSL2 2.5603e-08
26 COL4A2 4.2796e-08
27 CDKN2A 2.7233e-10
28 GUCY1A3 7.3348e-08
29 CFDP1 1.1468e-07
30 ATXN2 1.3728e-07
31 BROX 1.8756e-07
32 TAF1A 2.0497e-07
33 TMEM170A 2.17e-07
34 MRAS 2.5889e-07
35 SLC22A3 2.6161e-07
36 AXL 4.2342e-07
37 ILF3 4.3642e-07
38 NAGLU 4.5502e-07
39 SH2B3 5.4249e-07
40 PSRC1 5.8937e-07
41 IGF2BP1 9.0097e-07
42 VAMP5 1.1152e-06
43 CYP17A1 1.1445e-06
44 BCAS3 1.2986e-06
45 BRAP 1.3141e-06
46 FURIN 6.3973e-09
47 TOMM40 1.3529e-06
48 B9D2 1.407e-06
49 YIPF2 1.6343e-06
50 APOC1 3.9614e-09
51 TCF21 1.7059e-06
52 AS3MT 1.731e-06
53 MST1 1.8405e-06
54 CHST6 1.8798e-06
55 TSPAN14 1.9259e-06
56 MORF4L1 2.5603e-08
57 SNF8 2.4555e-06
58 SKI 3.3875e-06
59 BCAP29 3.403e-06
60 ATP5G1 3.8065e-06
61 KCNK5 3.9045e-06
62 GPR22 3.403e-06
63 MAP1S 4.7205e-06
64 HNF1A 5.0546e-06
65 ACAD10 5.2016e-06
66 PLCG1 5.4495e-10
67 UBE2Z 6.3077e-06
68 SLC22A1 6.3165e-06
69 ACYP1 6.7287e-06
70 NEK9 6.8703e-06
71 TTLL6 6.9703e-06
72 FHL5 7.2477e-06
73 TMED10 4.5502e-07
74 RAPH1 7.7385e-06
75 TRIM58 7.7737e-06
76 CYP4F2 7.9106e-06
77 PLG 8.0829e-06
78 SETDB2 8.6012e-06
79 FLT1 5.3966e-06
80 STAG1 9.3655e-06
81 CYP20A1 9.6617e-06
82 B4GALT5 1.1032e-05
83 ALDH2 1.1404e-05
84 IPO9 1.1533e-05
85 ZPR1 1.1568e-05
86 PECAM1 1.2305e-05
87 ABI2 7.7385e-06
88 ZC2HC1C 1.252e-05
89 ATPAF2 1.2985e-05
90 ZBTB7B 1.3584e-05
91 PCCB 1.3641e-05
92 COG5 1.3801e-05
93 APEH 1.4264e-05
94 RELA 2.7233e-10
95 GGT7 1.5694e-05
96 TOM1L2 1.5881e-05
97 GIP 1.5984e-05
98 MLH3 1.755e-05
99 NT5C2 1.7607e-05
100 TMED1 1.8317e-05
101 ZNF827 1.8352e-05
102 INPP5B 1.8853e-05
103 DAG1 1.9631e-05
104 SREBF1 1.2087e-08
105 TRIM65 2.034e-05
106 GID4 2.2101e-05
107 MYH11 2.2199e-05
108 AMT 2.402e-05
109 CENPW 2.5187e-05
110 EIF2B2 2.545e-05
111 PPP2R3A 2.6438e-05
112 ZHX3 2.7249e-05
113 SMAD3 3.3875e-06
114 HBP1 3.021e-05
115 ANKRD52 3.0277e-05
116 REST 2.7233e-10
117 ING1 3.0937e-05
118 PAN2 3.1217e-05
119 DMWD 3.2645e-05
120 DRG2 3.2915e-05
121 NICN1 3.5083e-05
122 NOA1 3.8176e-05
123 MTAP 3.9489e-05
124 DNM2 1.4095e-09
125 CNNM2 1.731e-06
126 KAT2A 2.7233e-10
127 CS 1.3529e-06
128 NAA25 4.9837e-05
129 KRI1 4.9875e-05
130 CCDC97 5.1512e-05
131 TMEM116 5.1675e-05
132 ORC4 5.3262e-05
133 ATG4D 5.4579e-05
134 POC1B 5.5406e-05
135 CSNK1G3 5.9917e-05
136 TAGLN2 6.4028e-05
137 CHN1 6.5644e-05
138 SLC39A5 6.5724e-05
139 TBC1D12 6.6681e-05
140 APBB1 6.6863e-05
141 NEDD9 6.7572e-05
142 COQ10A 7.15e-05
143 GOSR2 7.7263e-06
144 UHRF1 7.5967e-05
145 TMEM150A 8.0539e-05
146 RHOA 5.3966e-06
147 STAT2 8.3034e-05
148 RAB5C 1.4095e-09
149 RPH3A 9.0567e-05
150 SIPA1 9.0588e-05
151 PDS5B 9.1111e-05
152 MAT1A 9.398e-10
153 MTTP 2.0025e-05
154 GPX1 1.5694e-05
155 DHX58 9.6355e-05
156 BSN 9.7339e-05
157 RORC 0.00010044
158 APOB 1.9431e-11
159 TOP1 5.7892e-08
160 HNRNPUL1 0.00010735
161 UNC13D 0.00010805
162 SLC45A4 0.00010823
163 GALNT4 0.00011262
164 SPHKAP 0.00011704
165 TRMT10A 0.0001175
166 GIGYF2 0.00011801
167 ZKSCAN1 0.00011826
168 DYDC2 0.00012
169 LY6H 0.00012212
170 MAPKAPK5 0.0001245
171 CLDN19 0.00012705
172 IL23A 1.4715e-05
173 SRR 0.00012844
174 KCNA2 0.00013104
175 MLX 0.00013232
176 AMH 0.00013352
177 RSPH6A 3.2645e-05
178 DAB2IP 0.00014264
179 PBXIP1 0.00014305
180 CEACAM19 0.00014553
181 EIF2B3 0.00014872
182 SF3A1 0.00015138
183 RPL13 0.00015237
184 BMP1 0.00015986
185 RRP1B 2.4697e-15
186 SYN3 0.00016502
187 ABCG8 0.0001024
188 UFL1 0.00016926
189 TRAFD1 0.00017142
190 H2AFV 1.1468e-07
191 CELA3B 0.00018899
192 TRAF4 0.00020111
193 POU5F1 2.7233e-10
194 MYOZ2 0.00020517
195 ACVR2A 0.00020975
196 EDNRA 5.3966e-06
197 FTO 0.00022109
198 CACFD1 0.00022205
199 PREX1 0.00022737
200 ZEB2 2.9752e-05
201 IGF2R 0.00023683
202 ANKRD50 0.00024545
203 PHB 2.7233e-10
204 CNPY2 0.00025148
205 DENND5A 0.00025882
206 TUBA3E 0.00026342
207 ZMYND12 0.00026649
208 PAPD7 0.00027448
209 RPL6 0.00015237
210 HSPB9 0.0002939
211 FCHO1 0.00029701
212 ST3GAL4 0.00031537
213 TBC1D10A 0.00031569
214 EXOSC5 2.4697e-15
215 LAMB2 1.9631e-05
216 ESYT3 0.00032411
217 LOX 0.00015986
218 C1S 0.00033066
219 RNF215 0.00033153
220 MRPL38 2.034e-05
221 DUS4L 4.4153e-06
222 HLA-B 1.4095e-09
223 CRHR1 0.00034267
224 NEK8 0.000348
225 NIPSNAP1 0.00034902
226 MYO15A 0.00035519
227 ITGB1BP1 0.00035593
228 PHF11 0.00036051
229 PHIP 0.00036356
230 USP10 0.00036732
231 ACTR2 1.2494e-05
232 CTSH 0.0003852
233 SEC61A1 0.0001024
234 SCUBE2 0.0003983
235 BCKDHA 1.3641e-05
236 CYP2S1 0.0004053
237 RBPMS2 0.00041215
238 GSTM4 9.3237e-05
239 ERP29 0.00041308
240 LMOD1 0.00042427
241 ATP6V0A1 3.8065e-06
242 KCNJ13 0.00047122
243 AAR2 0.00048428
244 PTPN11 5.4495e-10
245 GLIS2 0.00049771
246 TUBG2 0.00049966
247 BBOX1 1.1404e-05
248 CNPY4 0.00052494
249 AP3M1 0.0005315
250 ARHGEF19 0.00053434
251 ETV4 0.00054008
252 RRBP1 0.00054268
253 DENND1B 0.00056392
254 CD302 0.00056773
255 ZNF638 0.00059234
256 NDST2 0.00059597
257 DHX36 0.00060703
258 UNK 0.00060809
259 THOC5 0.00064539
260 UPB1 0.00064893
261 IRAK1BP1 0.00036356
262 ZFP36L2 0.00067363
263 UBXN2A 0.00067769
264 BNIP1 1.4095e-09
265 MON1A 0.00068477
266 ZSWIM8 0.00068583
267 HSF2BP 0.0006873
268 AZGP1 0.00068822
269 RNF123 0.00069562
270 PDE1A 7.3348e-08
271 TBX2 0.00070049
272 TMEM199 0.00071975
273 ENSA 0.00073207
274 OAZ3 0.00073503
275 RUVBL1 2.7233e-10
276 EHBP1 0.00022737
277 ATAD2B 0.00075197
278 CYP46A1 2.5103e-11
279 MAPK7 0.0007635
280 CEP164 0.00076636
281 GPR149 0.00079194
282 RBMS1 0.00079876
283 PDLIM5 0.00020517
284 FBF1 0.0008198
285 NRP1 9.325e-06
286 C4orf17 0.00083966
287 HMGCR 3.9614e-09
288 RNF181 0.00086149
289 SLC22A2 0.00086546
290 F2RL1 0.00087766
291 ADK 1.7607e-05
292 ATP2B1 0.00090103
293 SLCO5A1 0.00090212
294 KALRN 0.0001245
295 SIX5 0.00094852
296 DPH1 0.00094991
297 TRAIP 0.00096094
298 PPIA 0.00096371
299 ZADH2 0.00098134
300 PURB 0.00099137
301 ANXA9 0.0010011
302 DOT1L 0.0010129
303 WNT2 3.9614e-09
304 HTRA1 0.0010267
305 LOXL4 0.00015986
306 FABP2 0.0010325
307 ZNF644 6.5724e-05
308 USP48 1.4715e-05
309 MST1R 1.8405e-06
310 BTBD19 0.0010929
311 TAB2 6.3973e-09
312 HELLS 0.0011101
313 CDC25A 2.9752e-05
314 RNF5 0.0011467
315 CALCOCO1 0.0011482
316 CNP 0.001169
317 SPG7 1.3529e-06
318 KAT5 2.7233e-10
319 ABCB4 7.7707e-10
320 LARP4B 0.0012819
321 EDEM2 0.0012839
322 ANXA4 0.0012911
323 BUD13 1.1568e-05
324 APOA5 4.7727e-11
325 EXOC6B 0.0013086
326 PPP2R3C 0.0013105
327 TLE4 0.0013277
328 SNRPD2 0.0012944
329 AGER 0.0013366
330 PDE8A 0.0013405
331 FOLH1 0.0013521
332 TRPC4AP 0.0012839
333 CNTNAP1 0.0014154
334 CTSK 0.0014227
335 RASGEF1B 0.001423
336 PSD 0.0014234
337 LAMC2 8.0829e-06
338 CTTN 1.9631e-05
339 KLF2 0.0014733
340 PLEKHJ1 0.0014751
341 OBP2B 0.0014807
342 PTPRJ 0.0015025
343 TAL2 0.0015028
344 TERT 2.7233e-10
345 HAUS6 0.0015095
346 IL10 6.3973e-09
347 SPINK8 0.0015372
348 RAD54L2 0.0015542
349 CDHR4 0.0015685
350 PEX1 0.0015689
351 MYH7B 0.00099137
352 FAM46C 0.0016046
353 B3GNT8 0.0016194
354 EHBP1L1 0.0016285
355 CEP70 0.00164
356 SBF2 0.0016637
357 AGFG2 0.0016769
358 NOS3 4.7727e-11
359 SUMO1 0.00010398
360 PROCA1 0.0017054
361 SGCD 0.0017905
362 GBE1 0.00050279
363 MYO1A 0.00036931
364 HIPK3 0.0018248
365 BRINP3 0.0018296
366 HORMAD1 0.0018848
367 USP53 0.0018926
368 DSTN 0.00036931
369 FAM117B 0.0019539
370 SLCO1B1 0.0019546
371 RSG1 0.0019741
372 LAYN 0.0019759
373 SNRPD3 0.00015138
374 CDC123 0.0019938
375 BECN1 0.0010935
376 MTHFD1L 0.0020066
377 GUCY1B3 7.3348e-08
378 PTH 0.0014227
379 TMEM106B 4.7727e-11
380 SERPINH1 8.0523e-10
381 USP39 0.0021253
382 GIPR 1.5984e-05
