#N E pmin p1min pmax wmin wmax wave
14136 178034 6.7724e-15 6.7724e-15 1 0 2147483649.92208 1157972.94780682
#nodeindex nodename nodeweight
0 TERT 6.7724e-15
1 VTI1A 8.9944e-10
2 TP63 6.3826e-07
3 ERCC6 1.0146e-06
4 BTNL2 2.8631e-06
5 PSORS1C1 6.1921e-06
6 AKAP13 6.459e-06
7 ROS1 1.1571e-05
8 DSP 1.1818e-05
9 GABBR1 1.3155e-05
10 ACTR10 1.728e-05
11 WNK1 2.5729e-05
12 HLA-DPB1 2.5946e-05
13 ZNF263 2.6753e-05
14 BPTF 1.0146e-06
15 P2RY13 3.6529e-05
16 TIGD7 3.9382e-05
17 OR11A1 4.7235e-05
18 DDR1 4.7458e-05
19 ACVR1B 6.1761e-05
20 SHISA6 6.1981e-05
21 TP53BP1 6.6213e-05
22 OR2H2 6.8138e-05
23 GTF2H4 7.2345e-05
24 FGF1 8.1731e-05
25 CLPTM1L 8.3993e-05
26 HLA-DPA1 2.5946e-05
27 CLDN18 0.00012275
28 ARL5C 0.00012942
29 KLHL25 0.00014105
30 CHRNA3 0.00014261
31 RAB4B 0.00014809
32 NRROS 0.00014854
33 HSPA1L 0.00014943
34 HLA-A 8.8523e-05
35 PCGF6 0.00015588
36 ADAL 0.00016201
37 ZSCAN29 0.00016313
38 PDCD11 0.00018924
39 LY6G6F 0.00019751
40 TAF5 7.2345e-05
41 MAP1A 0.00022023
42 ALDH2 0.00023163
43 PPIP5K1 0.00023452
44 PRR12 0.00024014
45 HLA-B 2.5946e-05
46 BTN3A1 0.00029359
47 NEURL1 0.00029576
48 EGLN2 0.00029647
49 TUBGCP4 0.00030493
50 HLA-DRA 2.5946e-05
51 JUP 1.1818e-05
52 IMPA1 0.00034377
53 PSCA 0.00034664
54 OCSTAMP 0.00035862
55 BTN2A1 0.00038579
56 SLC10A5 0.00040833
57 SNRNP48 0.00040948
58 NEMF 0.00047643
59 INHBC 0.00048483
60 MED12L 0.00050279
61 PPP1R18 0.00051614
62 KAT7 0.00053352
63 TRIM39 0.00054614
64 TAPBP 0.00015085
65 PITPNM1 0.00056531
66 ZFAND1 0.00056625
67 DHX16 0.00057432
68 CUX2 0.00029576
69 MDC1 6.6213e-05
70 EHMT2 0.00015588
71 TFAP2C 0.00071569
72 FLOT1 0.00071749
73 TMEM116 0.00072117
74 DSG2 1.1818e-05
75 MAPKAPK5 0.00076367
76 GGTLC1 0.00080089
77 TEAD1 0.00083039
78 HAP1 1.728e-05
79 HFE 0.00026653
80 THBS3 0.00088396
81 CDSN 6.1921e-06
82 BAG6 0.00094474
83 SLC5A1 0.00095667
84 NR5A1 0.00096519
85 TET2 0.0009835
86 CCL7 0.001
87 TRIM39-RPP21 0.00054614
88 PRC1 0.0010251
89 TMPRSS2 0.0010534
90 COL14A1 0.0010689
91 INA 0.0010885
92 KLHDC2 0.0011031
93 ENTPD3 0.00016201
94 BAK1 0.0011479
95 GAST 0.0012146
96 TNS1 0.0012306
97 NUMBL 0.0012478
98 PRRG2 0.00024014
99 PECR 0.0012956
100 TUBB 0.0012959
101 P2RY12 3.6529e-05
102 CKMT1B 0.00023452
103 CMTM8 0.0013147
104 POM121L2 0.0013586
105 FRMD5 0.0013754
106 GPATCH4 0.0013835
107 HLA-DQA2 2.5946e-05
108 LCMT2 0.0014169
109 LNX2 0.0014347
110 GOPC 0.0014839
111 CHMP4C 0.0014922
112 PPM1G 0.0015246
113 TAP2 0.00015085
114 FADD 0.0015496
115 COX7A2 0.0015575
116 RNF39 0.001558
117 YWHAB 6.459e-06
118 CBLB 0.0016501
119 TULP2 0.0016954
120 NCL 6.7724e-15
121 EIF2B4 0.0017483
122 SKIV2L 0.00057432
123 MFAP3L 0.0018508
124 CDH15 0.00031709
125 GTF3C2 0.0019211
126 RNF170 0.0019311
127 ARID4A 2.8878e-05
128 MUC1 0.00031709
129 POMK 0.0020153
130 GPR87 0.0020242
131 TMEM30A 0.0020282
132 PGBD1 0.0020692
133 ETAA1 0.0020907
134 SDCCAG8 0.0021075
135 ERP29 0.0021106
136 CIITA 0.0021229
137 KRTCAP2 0.0021467
138 BTN3A3 0.0021488
139 SAG 0.0021513
140 NF1 1.1571e-05
141 SNX17 0.0017483
142 HGSNAT 0.0020153
143 SIX2 0.0022126
144 PTPRCAP 0.002278
145 SNURF 0.002302
146 CALHM1 0.0023303
147 DPYSL4 0.0024077
148 RPP21 7.2345e-05
149 BMP1 0.0025203
150 IFT172 0.0025321
151 TRIM46 0.00088396
152 MTAP 0.0025989
153 UGT8 0.002606
154 THOP1 0.0026136
155 MRPS15 0.00018924
156 ARHGDIA 0.0026411
157 RPL14 0.0026701
158 ZNF513 0.0027
159 SYPL2 0.0027334
160 NRBP1 0.0027445
161 SESTD1 0.0027552
162 ZBTB12 0.0018086
163 MSMO1 0.0027923
164 ACVRL1 0.0028017
165 CFB 0.0028214
